iter	Passed	Remaining
1528	74149	47088
1529	74195	47038
1530	74243	46990
1531	74289	46939
1532	74338	46892
1533	74388	46844
1534	74435	46794
1535	74484	46746
1536	74530	46696
1537	74577	46647
1538	74623	46597
1539	74672	46548
1540	74717	46498
1541	74765	46449
1542	74812	46400
1543	74857	46349
1544	74906	46301
1545	74955	46253
1546	75004	46205
1547	75052	46156
1548	75099	46107
1549	75146	46057
1550	75196	46010
1551	75241	45959
1552	75288	45909
1553	75335	45860
1554	75381	45810
1555	75429	45762
1556	75477	45713
1557	75524	45663
1558	75574	45615
1559	75622	45567
1560	75672	45519
1561	75723	45472
1562	75770	45423
1563	75819	45375
1564	75868	45327
1565	75918	45279
1566	75965	45230
1567	76016	45182
1568	76064	45134
1569	76113	45086
1570	76162	45038
1571	76211	44989
1572	76259	44941
1573	76307	44892
1574	76355	44843
1575	76410	44798
1576	76458	44750
1577	76507	44702
1578	76558	44655
1579	76607	44607
1580	76656	44558
1581	76704	44509
1582	76753	44461
1583	76799	44411
1584	76847	44362
1585	76894	44313
1586	76943	44265
1587	76990	44216
1588	77037	44166
1589	77086	44118
1590	77133	44069
1591	77182	44020
1592	77231	43972
1593	77281	43925
1594	77334	43879
1595	77385	43832
1596	77432	43783
1597	77480	43734
1598	77529	43686
1599	77577	43637
1600	77624	43587
1601	77675	43541
1602	77725	43493
1603	77775	43445
1604	77824	43397
1605	77871	43348
1606	77919	43299
1607	77965	43249
1608	78013	43200
1609	78060	43151
1610	78112	43104
1611	78161	43056
1612	78213	43010
1613	78263	42962
1614	78311	42913
1615	78376	42874
1616	78427	42827
1617	78479	42780
1618	78525	42730
1619	78573	42681
1620	78621	42633
1621	78669	42584
1622	78720	42537
1623	78768	42488
1624	78816	42439
1625	78864	42390
1626	78912	42342
1627	78958	42292
1628	79009	42244
1629	79054	42194
1630	79101	42145
1631	79145	42094
1632	79194	42046
1633	79240	41996
1634	79286	41946
1635	79333	41897
1636	79382	41849
1637	79427	41799
1638	79478	41751
1639	79525	41702
1640	79576	41655
1641	79626	41607
1642	79674	41558
1643	79732	41515
1644	79825	41489
1645	79872	41440
1646	79928	41395
1647	79994	41356
1648	80054	41313
1649	80111	41269
1650	80171	41226
1651	80225	41181
1652	80278	41134
1653	80327	41086
1654	80382	41041
1655	80436	40995
1656	80498	40953
1657	80573	40918
1658	80628	40873
